发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
昨天 15:45,Raw,[Snow-Raws] 恶魔高校D×D/High School DxD/ハイスクールDxD (BD 1920x1080 HEVC-YUV420P10 FLAC),14.3GB,13,19,26,雪恋,magnet:?xt=urn:btih:f73edddaf58538d3c67d6e872b795a4e04fa100e&tr=http://open.acgtracker.com:1096/announce
昨天 15:44,Raw,[Snow-Raws] 终结的炽天使 名古屋决战篇/Owari no Seraph: Nagoya Kessen Hen/終わりのセラフ 名古屋決戦編 (BD 1920x1080 HEVC-YUV420P10 FLAC),16.1GB,19,18,21,雪恋,magnet:?xt=urn:btih:6c9909e4a4ecbd7f4b88e14ec4c9e0d1cafc339c&tr=http://open.acgtracker.com:1096/announce
2021/01/09,Raw,[UCCUSS] Amanatsu アマナツ (BD 1920xBD AVC FLAC),1.6GB,0,0,0,voltajohn,magnet:?xt=urn:btih:d3e3248a2139ad4b9f446af8845c4bca6f569d1a&tr=http://open.acgtracker.com:1096/announce
2021/01/09,Raw,[Snow-Raws] 终结的炽天使/Owari no Seraph/終わりのセラフ (BD 1920x1080 HEVC-YUV420P10 FLAC),13.6GB,41,7,12,雪恋,magnet:?xt=urn:btih:e63ef2f8fabc74cfeb0dafbe358758b1fc013d13&tr=http://open.acgtracker.com:1096/announce
2021/01/09,Raw,[Snow-Raws] 电波教师/Denpa Kyoushi/電波教師 (BD 1920x1080 HEVC-YUV420P10 FLAC),29.7GB,32,8,14,雪恋,magnet:?xt=urn:btih:078db4af9e6ed87cc55e4cb95ea09d1c55332f3f&tr=http://open.acgtracker.com:1096/announce
2021/01/08,Raw,[UCCUSS] Gekijouban 劇場版 SHIROBAKO (BD 1920xBD AVC DTSHD DTS),12.2GB,26,2,10,voltajohn,magnet:?xt=urn:btih:bcdf8eb09c87b904b050a8b7077b3a5546092bf0&tr=http://open.acgtracker.com:1096/announce
2021/01/07,Raw,[Snow-Raws] 新世界 未来篇/Arata-naru Sekai: World`s Start Load End/アラタなるセカイ (BD 1920x1080 HEVC-YUV420P10 FLAC),1.7GB,129,1,35,雪恋,magnet:?xt=urn:btih:55e973f6d29ed93ddb7e16c08a5e85dbb7838c25&tr=http://open.acgtracker.com:1096/announce
2021/01/07,Raw,[Snow-Raws] 偶像大师/The Idolmaster/THE BD (BD 1920x1080 HEVC-YUV420P10 FLACx2),42.0GB,22,4,15,雪恋,magnet:?xt=urn:btih:ab76b6b31db0d48611d60666e809c067c2130dab&tr=http://open.acgtracker.com:1096/announce
2021/01/05,Raw,[Snow-Raws] Punch Line/Punch Line/パンチライン (BD 1920x1080 HEVC-YUV420P10 FLAC),12.1GB,0,0,0,雪恋,magnet:?xt=urn:btih:50b594ae0bcea428645c71a05239639744553771&tr=http://open.acgtracker.com:1096/announce
2021/01/05,Raw,[Snow-Raws] 关于完全听不懂老公在说什么的事 第二季/Danna ga Nani o Itte Iruka Wakaranai Ken 2 Sureme/旦那が何を言っているかわからない件 2スレ目 (BD 1920x1080 HEVC-YUV420P10 FLACx2),1.8GB,87,4,16,雪恋,magnet:?xt=urn:btih:ec2aabe32b37d34dd4a739f7dec1a65688e4a48b&tr=http://open.acgtracker.com:1096/announce
2021/01/04,Raw,[Snow-Raws] 关于完全听不懂老公在说什么的事/Danna ga Nani o Itte Iruka Wakaranai Ken/旦那が何を言っているかわからない件 (BD 1920x1080 HEVC-YUV420P10 FLACx2),1.1GB,104,1,17,雪恋,magnet:?xt=urn:btih:ad6a6ee7723555467514c09ca7ed86afa502b61b&tr=http://open.acgtracker.com:1096/announce
2021/01/04,Raw,[Snow-Raws] 干支魂/Etotama/えとたま (BD 1920x1080 HEVC-YUV420P10 FLAC),10.7GB,64,3,14,雪恋,magnet:?xt=urn:btih:1e45470c5ec49141d9f81080b3191254e31835c7&tr=http://open.acgtracker.com:1096/announce
2021/01/02,Raw,[Snow-Raws] 放学后的昴星团/Houkago no Pleiades/放課後のプレアデ (BD 1920x1080 HEVC-YUV420P10 FLACx2),17.9GB,0,0,0,雪恋,magnet:?xt=urn:btih:9e5d5db800e1bb9af73a57f29ee1107943067e78&tr=http://open.acgtracker.com:1096/announce
2021/01/02,Raw,[Snow-Raws] 御神乐学园组曲/Mikagura Gakuen Kumikyoku/ミカグラ学園組曲 (BD 1920x1080 HEVC-YUV420P10 FLACx2),23.8GB,34,4,13,雪恋,magnet:?xt=urn:btih:787726cb3014f9a796de7d376dc01ca9306ccbf3&tr=http://open.acgtracker.com:1096/announce
2020/12/31,Raw,[UCCUSS] Houkago Teibou Nisshi 放課後ていぼう日誌 全12話 (BD 1920xBD AVC FLAC),21.2GB,47,1,13,voltajohn,magnet:?xt=urn:btih:76663db5da86a7e1e24d49b354b0ff8067c2cc0b&tr=http://open.acgtracker.com:1096/announce
2020/12/30,Raw,[UCCUSS] Azur Lane Bisoku Zenshin! アズールレーン びそくぜんしんっ! 第0巻 特装版 (BD 1920xBD AVC FLAC AAC),1.6GB,104,2,15,voltajohn,magnet:?xt=urn:btih:e4ecb759d0bfc6ea05d411bf26cb67bb5ab699fb&tr=http://open.acgtracker.com:1096/announce
2020/12/30,Raw,[Snow-Raws] 爱丽丝与藏六/Alice to Zouroku/アリスと蔵六 (BD 1920x1080 HEVC-YUV420P10 FLAC),15.8GB,0,0,0,雪恋,magnet:?xt=urn:btih:67e61ac4f65d27215cca9d7637eb1f4f83a198ff&tr=http://open.acgtracker.com:1096/announce
2020/12/30,Raw,[Snow-Raws] 黑执事 马戏团篇/Kuroshitsuji: Book of Circus/黒執事 Book of Circus (BD 1920x1080 HEVC-YUV420P10 FLACx2),13.2GB,83,3,36,雪恋,magnet:?xt=urn:btih:9eb874cd82ebc50798a656c0d1eb84c9c7371232&tr=http://open.acgtracker.com:1096/announce
2020/12/30,Raw,[Snow-Raws] 黑执事 豪华客船篇/Kuroshitsuji: Book of the Atlantic/黒執事 Book of the Atlantic (BD 1920x1080 HEVC-YUV420P10 FLACx2),6.3GB,0,0,0,雪恋,magnet:?xt=urn:btih:982d0ce1ee5454cb7057f027d2394ba6d442f41a&tr=http://open.acgtracker.com:1096/announce
2020/12/30,Raw,[Snow-Raws] 黑执事 幽鬼城杀人事件篇/Kuroshitsuji: Book of Murder/黒執事 Book of Murder (BD 1920x1080 HEVC-YUV420P10 FLAC),3.7GB,90,0,34,雪恋,magnet:?xt=urn:btih:e9353fb9e9f6035aa76660f1e933f473d9183560&tr=http://open.acgtracker.com:1096/announce
2020/12/29,动画,剧场版 鲁邦三世：鲁邦VS复制人.1978.BD.日语中字,5.8GB,33,1,8,jay0779,magnet:?xt=urn:btih:9acd344d24f7b32363af8bcaf4818f1c341c7dcd&tr=http://open.acgtracker.com:1096/announce
2020/12/28,Raw,[Snow-Raws] 黑执事/Kuroshitsuji/黒執事 (BD 1920x1080 HEVC-YUV420P10 FLAC),41.7GB,0,0,0,雪恋,magnet:?xt=urn:btih:eca3766de4a0826aa700b53092dcb66f1429648e&tr=http://open.acgtracker.com:1096/announce
2020/12/28,Raw,[Snow-Raws] 偶像大师 灰姑娘女孩剧场 高潮季/Idolmaster Cinderella Girls Gekijou CLIMAX SEASON/アイドルマスター シンデレラガールズ劇場 CLIMAX SEASON (BD 1920x1080 HEVC-YUV420P10 FLAC),2.9GB,0,0,0,雪恋,magnet:?xt=urn:btih:ff815c5c904029162e77b164da520c611a40eafb&tr=http://open.acgtracker.com:1096/announce
2020/12/27,Raw,[Snow-Raws] 偶像大师 灰姑娘女孩剧场 第三季/Idolmaster Cinderella Girls Gekijou 3rd SEASON/アイドルマスター シンデレラガールズ劇場 第3期 (BD 1920x1080 HEVC-YUV420P10 FLAC),3.7GB,48,0,11,雪恋,magnet:?xt=urn:btih:28c344ad5416ad87e7fde585799cfdc7139a4a21&tr=http://open.acgtracker.com:1096/announce
2020/12/27,Raw,[Snow-Raws] 偶像大师 灰姑娘女孩剧场 第二季/Idolmaster Cinderella Girls Gekijou 2nd SEASON/アイドルマスター シンデレラガールズ劇場 第2期 (BD 1920x1080 HEVC-YUV420P10 FLAC),4.4GB,49,1,10,雪恋,magnet:?xt=urn:btih:e8a70853c3636b6d58be2b72c05abbb16e73cdea&tr=http://open.acgtracker.com:1096/announce
2020/12/26,周边,[BD][蓝光BD画质][路基艾尔][麦克斯奥特曼/Ultraman Max/ウルトラマンマックス][15][第二结局版][HEVC-10bit][简体中字][GB][MKV],763.8MB,9,0,3,黑暗路基艾尔,magnet:?xt=urn:btih:8eba6626f101cf5106b993c56640f33ad34a08c7&tr=http://open.acgtracker.com:1096/announce
2020/12/26,Raw,[Snow-Raws] 偶像大师 灰姑娘女孩剧场/Idolmaster Cinderella Girls Gekijou/アイドルマスター シンデレラガールズ劇場 (BD 1920x1080 HEVC-YUV420P10 FLAC),3.8GB,59,2,11,雪恋,magnet:?xt=urn:btih:aff94e4eba4df7cb0123a21b8801a7eedf8c4de5&tr=http://open.acgtracker.com:1096/announce
2020/12/26,Raw,[Snow-Raws] 偶像大师 灰姑娘女孩/The Idolmaster: Cinderella Girls/THE BD シンデレラガールズ (BD 1920x1080 HEVC-YUV420P10 FLACx2),32.9GB,41,3,9,雪恋,magnet:?xt=urn:btih:be85b674855f9654f01cee1af8a6865f7b063d0c&tr=http://open.acgtracker.com:1096/announce
2020/12/25,Raw,[Snow-Raws] 钢琴之森 第二季/Piano no Mori  2019 /ピアノの森 (BD 1920x1080 HEVC-YUV420P10 FLAC),15.3GB,0,0,0,雪恋,magnet:?xt=urn:btih:068bee604ce86362ca0b432527c8d891d874b9c5&tr=http://open.acgtracker.com:1096/announce
2020/12/25,Raw,[Snow-Raws] 钢琴之森 第一季/Piano no Mori  2018 /ピアノの森 (BD 1920x1080 HEVC-YUV420P10 FLAC),9.8GB,42,0,18,雪恋,magnet:?xt=urn:btih:12f2b0e43abb1eacca0b813815d4cd0f3b0cd054&tr=http://open.acgtracker.com:1096/announce
2020/12/25,Raw,[UCCUSS] Strike the Blood Fourth ストライク・ザ・ブラッド Ⅳ OVA 第4巻 (BD 1920xBD AVC FLAC AAC),3.3GB,0,0,0,voltajohn,magnet:?xt=urn:btih:38586cc58ac47113cf836397321b0c62a9b92743&tr=http://open.acgtracker.com:1096/announce
2020/12/24,Raw,[Snow-Raws] 东京喰种：re 第二季/Tokyo Ghoul: Re 2018/東京喰種 トーキョーグール ：re 2018 (BD 1920x1080 HEVC-YUV420P10 FLACx2),21.2GB,0,0,0,雪恋,magnet:?xt=urn:btih:bf0067b30fd216ba01fae4bcc1f24a14156eafbe&tr=http://open.acgtracker.com:1096/announce
2020/12/24,Raw,[Snow-Raws] 星合之空/Hoshiai no Sora/星合の空 -ほしあいのそら- (BD 1920x1080 HEVC-YUV420P10 FLAC),13.0GB,32,3,9,雪恋,magnet:?xt=urn:btih:267de8594aa7f892a2390cc749aa0d2885250175&tr=http://open.acgtracker.com:1096/announce
2020/12/23,Raw,[Snow-Raws] 东京喰种：re/Tokyo Ghoul:Re/東京喰種：re (BD 1920x1080 HEVC-YUV420P10 FLACx2),22.5GB,0,0,0,雪恋,magnet:?xt=urn:btih:9c2927b333fb672b306d778df7f14bb3ba220225&tr=http://open.acgtracker.com:1096/announce
2020/12/23,Raw,[Snow-Raws] 幸腹涂鸦/Koufuku Graffiti/幸腹グラフィティ (BD 1920x1080 HEVC-YUV420P10 FLAC),20.3GB,39,0,13,雪恋,magnet:?xt=urn:btih:518acecafd12ed6e86a4c12b4dc4d8e9103b709b&tr=http://open.acgtracker.com:1096/announce
2020/12/22,Raw,[Snow-Raws] 希德尼娅的骑士/Sidonia no Kishi/シドニアの騎士 (BD 1920x1080 HEVC-YUV420P10 FLAC),74.6GB,0,0,0,雪恋,magnet:?xt=urn:btih:9ff327aceb4392e814e0ab5a57b04e5fda56683e&tr=http://open.acgtracker.com:1096/announce
2020/12/22,Raw,[Snow-Raws] 洁癖男子！青山君/Keppeki Danshi! Aoyama-kun/潔癖男子! 青山くん (BD 1920x1080 HEVC-YUV420P10 FLAC),11.6GB,0,0,0,雪恋,magnet:?xt=urn:btih:bf21e915de82e3a5c82c22cad3f4b5b7e7897a6e&tr=http://open.acgtracker.com:1096/announce
2020/12/21,Raw,[Snow-Raws] 东京喰种√A/Tokyo Ghoul Root A/東京喰種√A (BD 1920x1080 HEVC-YUV420P10 FLACx2),17.1GB,51,2,14,雪恋,magnet:?xt=urn:btih:3437cf79bf5e7e1e089f5b91d5a430eee270cece&tr=http://open.acgtracker.com:1096/announce
2020/12/21,Raw,[Snow-Raws] BanG Dream! 少女乐团派对！Garupa Pico/Bang Dream! Garupa Pico/BanG Dream! ガルパ☆ピコ (BD 1920x1080 HEVC-YUV420P10 FLAC),3.0GB,43,0,9,雪恋,magnet:?xt=urn:btih:41d16d35f975b4c390be7833a39b144eb670994f&tr=http://open.acgtracker.com:1096/announce
2020/12/20,周边,[BD][蓝光BD画质][路基艾尔][梦比优斯奥特曼/Ultraman Mebius/ウルトラマンメビウス][50][HEVC-10bit][简体中字][GB][MKV],1008.8MB,3,0,2,黑暗路基艾尔,magnet:?xt=urn:btih:d8f083b14a60dc573634f64a3444c292ae822880&tr=http://open.acgtracker.com:1096/announce
2020/12/20,动画,战地启示录 The.Cockpit OVA 1994.BD.日语中字,8.1GB,0,0,0,jay0779,magnet:?xt=urn:btih:a54ec70018287f50af7efc181c77f772e6d74c4e&tr=http://open.acgtracker.com:1096/announce
2020/12/19,周边,[BD][蓝光BD画质][路基艾尔-Raws][奈克瑟斯奥特曼/Ultraman Nexus/ウルトラマンネクサス][29][幽声 导演剪辑版][HEVC-10bit][MKV],1.6GB,3,0,3,黑暗路基艾尔,magnet:?xt=urn:btih:af7e889f03a07575e5c2667c284282d98e9a4ac4&tr=http://open.acgtracker.com:1096/announce
