发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
今天 13:20,周边,[Skymoon-Raws] Kyojo S2 - 02 [ViuTV][WEB-DL][1080p][AVC AAC][MP4],2.0GB,0,0,0,天月動漫&發佈組,magnet:?xt=urn:btih:d216fc864ab913162972bce88d78145eecb6b270&tr=http://open.acgtracker.com:1096/announce
今天 13:18,周边,[Skymoon-Raws] Kyojo S2 - 01 [ViuTV][WEB-DL][1080p][AVC AAC][MP4],1.8GB,0,1,0,天月動漫&發佈組,magnet:?xt=urn:btih:12816203b6d03a935a5819b049c28a07941ab218&tr=http://open.acgtracker.com:1096/announce
今天 11:24,动画,【极影字幕社】 ★01月新番 工作细胞 S2 Hataraku Saibou S2 第01话 GB 1080P MP4（字幕社招内详）,906.2MB,0,17,0,极影字幕社,magnet:?xt=urn:btih:5b84984415d4b09e617b931c3b9d09d3a3e89079&tr=http://open.acgtracker.com:1096/announce
今天 11:24,动画,【极影字幕社】 ★01月新番 工作细胞 S2 Hataraku Saibou S2 第01话 GB 720P MP4（字幕社招内详）,192.5MB,0,14,2,极影字幕社,magnet:?xt=urn:btih:b768c3ea9fec4b4d10df93ff6d479e7f77c7d107&tr=http://open.acgtracker.com:1096/announce
今天 11:23,动画,【極影字幕社】 ★01月新番 工作细胞 S2 Hataraku Saibou S2 第01话 BIG5 1080P MP4（字幕社招內詳）,905.3MB,0,14,1,極影字幕社,magnet:?xt=urn:btih:f694e44524875ad117d1b555dab7bdb55d64bfff&tr=http://open.acgtracker.com:1096/announce
今天 11:23,动画,【極影字幕社】 ★01月新番 工作细胞 S2 Hataraku Saibou S2 第01话 BIG5 720P MP4（字幕社招內詳）,192.5MB,0,24,0,極影字幕社,magnet:?xt=urn:btih:3472e296d977088aa192f2e4a973f287ca233a7a&tr=http://open.acgtracker.com:1096/announce
今天 10:15,动画,[Lilith-Raws] PUI PUI 天竺鼠車車 / Pui Pui Molcar - 02 [Baha][WEB-DL][1080p][AVC AAC][CHT][MP4],76.3MB,0,0,0,Lilith-Raws,magnet:?xt=urn:btih:bebaa25e1ad4394db5d74a229bc88de353f1f27f&tr=http://open.acgtracker.com:1096/announce
今天 09:53,动画,[風車字幕組十周年][名偵探柯南][980][完美犯罪指南][1080P][繁體][MP4],298MB,3,2,6,風車字幕組,magnet:?xt=urn:btih:34ed5a634f58f14c2caaced8c10d8dc96fdb529e&tr=http://open.acgtracker.com:1096/announce
今天 09:52,动画,[风车字幕组十周年][名侦探柯南][980][完美犯罪指南][1080P][简体][MP4],298.2MB,0,0,0,风车字幕组,magnet:?xt=urn:btih:5ed5c73c16d5898d25688eaf2fc06f5cdf1f2e3d&tr=http://open.acgtracker.com:1096/announce
今天 09:52,动画,[风车字幕组十周年][名侦探柯南][979][被人摆布的侦探][1080P][简体][MP4],403.6MB,0,0,0,风车字幕组,magnet:?xt=urn:btih:25a2a890799b5c80fac01ae7fe3a664d26b1e855&tr=http://open.acgtracker.com:1096/announce
