发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
2021/01/08,动画,[桜都字幕組] 歐-巴-來洗澡 / Overflow [TV01-08 Fin][BDrip][720p][繁體內嵌],533.6MB,97,0,18,桜都字幕组,magnet:?xt=urn:btih:2621f210314b90ae4744705ac2bfe1e72d914319&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕组] 欧-巴-来洗澡 / Overflow [TV01-08 Fin][BDrip][720p][简体内嵌],533.5MB,30,1,11,桜都字幕组,magnet:?xt=urn:btih:7595b08c84e66a2c4b1e8150552f62eaa7fe3e89&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,【喵萌奶茶屋】★剧场版★[剧场版 歌之王子殿下 真爱王国/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][1080p][简繁日外挂],21.1GB,0,0,0,喵萌奶茶屋,magnet:?xt=urn:btih:4cfce761c43e2958c85c7aab87af1c8c318a246e&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,【喵萌奶茶屋】★劇場版★[劇場版 白箱/Gekijouban Shirobako][BDrip][720p][繁體][招募翻譯校對],1.1GB,63,0,17,喵萌奶茶屋,magnet:?xt=urn:btih:78bffc8250d30167aca278f774a10bc986a4966b&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,【喵萌奶茶屋】★劇場版★[劇場版 白箱/Gekijouban Shirobako][BDrip][1080p][繁體][招募翻譯校對],1.9GB,0,0,0,喵萌奶茶屋,magnet:?xt=urn:btih:d8a0cdcc00df0afcd962629e05a148ceaf467d76&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,【喵萌奶茶屋】★剧场版★[剧场版 白箱/Gekijouban Shirobako][BDrip][1080p][简体][招募翻译校对],1.9GB,72,4,26,喵萌奶茶屋,magnet:?xt=urn:btih:7aeeed5f9312068c5071feb84e9d8f5088c05fbc&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,【喵萌奶茶屋】★剧场版★[剧场版 白箱/Gekijouban Shirobako][BDrip][720p][简体][招募翻译校对],1.1GB,14,2,6,喵萌奶茶屋,magnet:?xt=urn:btih:6b5077e89b120fcdb8da3e4dd344b04a52edba98&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,[VCB-Studio] One-Punch Man / 一拳超人 10-bit 1080p HEVC BDrip [Reseed Fin],23.3GB,40,5,15,VCB-Studio,magnet:?xt=urn:btih:ee1c7bdab6956d2b7c26abae80ff2f376896eaae&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,[LY-RAW][BDrip][公主连结_Princess_Connect!_Re_Dive][HEVC 10bit][内封简中/附音乐22CD/2设定集][网盘分流],23.2GB,6,3,5,zhangtao80s,magnet:?xt=urn:btih:3ef57eea99368e04a57c92ae0b9dce1b23c5913d&tr=http://open.acgtracker.com:1096/announce
2021/01/05,音乐,[DHR-Raws]魔法少女リリカルなのは15周年記念イベント - LYRICAL☆LIVE(BDrip FHD HEVC ALAC),11.7GB,53,1,18,DHR-Raws,magnet:?xt=urn:btih:d5d2ee8a98ccac947ca32fa5501e38eab7e08cd1&tr=http://open.acgtracker.com:1096/announce
2021/01/05,动画,[VCB-Studio] Haikyuu!! The Movie / 排球少年!! 剧场版 / 劇場版ハイキュー!! 10-bit 1080p HEVC BDrip [MOVIE + OVA],30.5GB,0,0,0,VCB-Studio,magnet:?xt=urn:btih:dac72d2a36228fc8e9fdd073695ee1f05207f413&tr=http://open.acgtracker.com:1096/announce
2021/01/04,动画,【EMTP-Raws&BaiduBBB&TamersUnion】数码宝贝/数码暴龙/数码兽大冒险tri. 第5章「共生」[BDrip][AVC+HEVC][1080p][Main12][简繁日字幕],5.2GB,15,0,13,驯兽师联盟,magnet:?xt=urn:btih:8d58a59ef2516af295abd7c480e7c1dbfe6bcba6&tr=http://open.acgtracker.com:1096/announce
